Entry	Gene names	Organism	Gene ontology IDs
C0Q076	yfaX SPC_1419	Salmonella paratyphi C (strain RKS4594)	GO:0003677; GO:0006351; GO:0006355
Q9I5N0	PA0696	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	
S4LU40	arnE A679_00762	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0284	GO:0005887; GO:0009103; GO:0009245; GO:0022891
S4K6U9	arnT A679_00761	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0284	GO:0000030; GO:0005886; GO:0006493; GO:0009103; GO:0009245; GO:0016021; GO:0016763
B5FNU0	arnD SeD_A2644	Salmonella dublin (strain CT_02021853)	GO:0009103; GO:0009245; GO:0016811; GO:0036108; GO:0046677
A0A1S1AWQ5	arnA A7T43_18695	Salmonella anatum	GO:0016740
S4IHP2	arnC A673_02477	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0005886; GO:0009103; GO:0009245; GO:0016021; GO:0016780; GO:0036108; GO:0046677; GO:0099621
S4KS88	arnB A680_01243	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0009103; GO:0009245; GO:0046677; GO:0099620
S4KMG6	ais A679_00755	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0284	GO:0008653; GO:0016791; GO:0042597
A0A0F5B7B4	nudI TM63_18720	Salmonella enterica subsp. salamae	GO:0000287; GO:0004170; GO:0035529; GO:0047840
A0A1R2X5F6	BCA44_14655 BCA45_14695 BCA46_14690 BCA47_13935 BCA48_14695 BCA49_14675 BCA50_14380 BCA51_14685 BCA52_14655 BCA53_13875 BCA54_16565 BCA55_13975 BCA56_14695 BCA57_13980 BCA58_13570 BCA59_13495 BCA60_13870 BCA61_14505 BCA62_14695 BCA63_13875 BCA64_14680 BCA65_13560 BCA66_12500 BCA67_14655 BCA68_16800 BCA69_14660 BCA70_14665 BCA72_14515 BCA73_11185 BCA74_13475 BCA75_10970 BCA76_10775 BCA77_13565 BCA78_14310 BCA79_08310 BCA80_13140 BCA81_12785 BCA82_14505 BCA84_14650 BCA85_16570 BCA86_13235 BCA87_13460 BCA88_14700 BCA89_14690 BCA90_13870 BCA91_13610 BCA92_14700 BCA93_16570 BCA94_14690 BCA95_14685 BCA96_14650 BCA97_14685 BCA99_14150 BCB00_14575 BCB01_14670 BCB02_14685 BCB03_16975 BCB04_16710 BCB05_12755 BCB06_14360 BCB07_09760 BCB08_16550 BCB09_16980 BCB10_14690	Salmonella enteritidis	
A0A140SJT7	AO964_04765	Pseudomonas aeruginosa	GO:0000155; GO:0005524; GO:0005622; GO:0016021
A0A1J0IRF2			
A0A1G5IRK2	hcnA_1 BQ1898_02109	Acinetobacter baumannii	GO:0009055; GO:0050622; GO:0051536
A0A0H3QQV8	HMPREF1223_12784	Pseudomonas aeruginosa str. Stone 130	GO:0003824
A0A1L4GHC3			
A0A0C6EZN5	AO964_05115	Pseudomonas aeruginosa	GO:0008233
A0A0H2ZI55	braE PA14_64880	Pseudomonas aeruginosa (strain UCBPP-PA14)	GO:0005215; GO:0005886; GO:0016021
A0A157WUW4	besA SAMEA2273162_09830	Enterobacter cloacae	GO:0016787
A0A1S1C767	HMPREF2687_16485	Pseudomonas sp. HMSC059F05	GO:0004497
Q9I1S0	PA2197	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	GO:0016491
A0A1J0ZDS3			
A0A1R1THK8	MP35_21750	Escherichia coli N40513	
B7L8Z6	irp EC55989_2205	Escherichia coli (strain 55989 / EAEC)	GO:0005524; GO:0016021; GO:0042626
Q1RAG1	UTI89_C2182	Escherichia coli (strain UTI89 / UPEC)	GO:0003700; GO:0006351; GO:0043565
E6BR50	HMPREF9350_04900	Escherichia coli MS 85-1	GO:0003824; GO:0008152; GO:0031177
T9H836	G952_02072	Escherichia coli UMEA 3240-1	GO:0009058; GO:0016788; GO:0031177
A0A1L8ZVM3			
V0YHJ1	HMPREF1611_04593	Escherichia coli 908573	GO:0009058; GO:0016788
B7L902	irp EC55989_2211	Escherichia coli (strain 55989 / EAEC)	GO:0003824; GO:0008152
A0A0J6AQ67	fyuA AUS26_21395 ERS150876_03961	Escherichia coli	GO:0004872; GO:0005506; GO:0009279; GO:0015891
A0A0C7CR74	PAERUG_E15_London_28_01_14_10330 PAERUG_P32_London_17_VIM_2_10_11_01287	Pseudomonas aeruginosa	GO:0016491
A0A1P8IA64	atpA SEERU717_22725	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717	
I2X283	EC40967_1269	Escherichia coli 4.0967	
S4HU69	A673_03456	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0004784; GO:0046872
A0A1G5KXS8	trxA_3 BQ1898_03709	Acinetobacter baumannii	GO:0005623; GO:0006662; GO:0015035; GO:0045454
T2QE53	A677_00889	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0267	GO:0004872; GO:0005506; GO:0009279; GO:0015891
A0A1P8I5I4	SEERU717_13500	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717	
S4L176	A680_01085	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0003677; GO:0003887; GO:0006260; GO:0008408; GO:0009360
S4KT51	A680_01084	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0016888
S4KW10	A680_01088	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0008696; GO:0030170; GO:0046656
S4KK70	tmk A680_01086	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0004798; GO:0005524; GO:0006233; GO:0006235
A0A0H2V791	c1363	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	
S5HSP5	CFSAN002050_12375	Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050	GO:0006633; GO:0033817
A0A0H3BV82	fabD SNSL254_A1293	Salmonella newport (strain SL254)	GO:0004314; GO:0008152
A0A1P8I5I7	fabG SEERU717_13585	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717	
S4HSU2	A673_03638	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0005623; GO:0015035; GO:0045454
I7FPN9		Escherichia coli	
A0A127GVF2	AD871_28215	Shigella flexneri 4c	
A0A1D5C0F2	HMPREF1224_06080	Pseudomonas sp. P179	
W1GZL7		Klebsiella pneumoniae ISC21	GO:0003684; GO:0006281
A0A0V1YC92	atpB LFZ12_22600	Salmonella enterica subsp. enterica serovar Gaminara str. SA20063285	GO:0005886; GO:0015986; GO:0016021; GO:0045263; GO:0046933
V0Z4Q6	HMPREF1611_01021	Escherichia coli 908573	
V0Z852	HMPREF1611_01020	Escherichia coli 908573	GO:0003677; GO:0006281; GO:0006355; GO:0009432; GO:0016787
D7RVG4	BHF01_25395 BK337_26030 MJ49_27585 pKC394-003	Escherichia coli	GO:0003677; GO:0009036; GO:0009307
Q0ZKQ3		Escherichia coli	GO:0003886; GO:0009307
Q79BK9	repA	Plasmid pKM101	GO:0003887; GO:0005727; GO:0006270
A0A0R9PPM7	ABT65_01225 BLX54_11150 BLX59_05285 BLX60_10225 BLX62_00415 BLX63_07040 BLX65_22745 BLX66_09680 BLX67_18150 BLX68_12345 BLX70_04695 BLX71_17870 BLX72_13695 BLX73_11415 BLX74_05105	Salmonella newport	GO:0000160; GO:0003677; GO:0005622; GO:0006355; GO:0016021
A0A0E0Y7T0	O3K_24840	Escherichia coli O104:H4 (strain 2011C-3493)	
A0A0E0Y4T1	O3K_22320	Escherichia coli O104:H4 (strain 2011C-3493)	GO:0003677; GO:0006351; GO:0006355
A0A0E2TL24	BX52_15155	Escherichia coli O121:H19 str. 2010C-3609	GO:0015128; GO:0016021
U9YV72	HMPREF1599_05898	Escherichia coli 907713	GO:0016491
A0A077ZNM5	TTRE_0000865001	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	GO:0004177; GO:0005737; GO:0008235; GO:0030145
A0A125WVT5	AB97_5215	Escherichia coli 1-110-08_S3_C1	
A0A024KN07	lptF PGA_01169	Escherichia coli D6-113.11	GO:0043190; GO:0055085
H4KRA0	ECDEC2C_5262	Escherichia coli DEC2C	GO:0043190; GO:0055085
A0A0P1DI20	emrE PADK1_05121	Pseudomonas aeruginosa DK1	GO:0005886; GO:0006810; GO:0016021
A0A1D5BTB3	HMPREF1224_09000	Pseudomonas sp. P179	GO:0016491
A0A1D5BT87	HMPREF1224_08999	Pseudomonas sp. P179	
A0A0G2NT25	atpH SG9_3647	Salmonella enterica subsp. enterica serovar Gallinarum str. SG9	GO:0005886; GO:0015986; GO:0045261; GO:0046933
A0A1J8LTL1			
A0A1J0ZLM2			
A0A1S1B2M9	rraB A7T43_14200	Salmonella anatum	
A0A1S1C0F8	hldE HMPREF2687_26085	Pseudomonas sp. HMSC059F05	GO:0016301
W1MU19	M770_30995	Pseudomonas aeruginosa VRFPA03	
Q9I0F3	PA2685	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	GO:0033103; GO:0033104
A0A1C7BPB6	Q058_00175	Pseudomonas aeruginosa BL04	GO:0000160; GO:0003677; GO:0005622; GO:0006351; GO:0006355
A0A1F0I419	HMPREF3014_05065	Pseudomonas sp. HMSC065H01	GO:0097264
A0A080EZP3	cyaY AB81_4362	Escherichia coli 6-537-08_S1_C3	GO:0008199; GO:0016226
A0A0H3QVD0	HMPREF1223_11754	Pseudomonas aeruginosa str. Stone 130	GO:0016787
A0A1D5BY79	HMPREF1224_07464	Pseudomonas sp. P179	GO:0008237
A0A1M3SJC8	AYM22_15010 AYM23_15010 AYM24_15010 AYM25_14690 AYM26_15015 AYM27_15020 AYM28_15025 AYM29_15020 AYM30_15025 AYM31_15020 AYM32_15020 AYM33_14995 AYM34_15010 AYM35_14985 AYM36_14985 AYM37_15025 BVV32_01535 SAMEA3449065_01746	Staphylococcus aureus	GO:0016021
T1Y6U2	SAKOR_00632	Staphylococcus aureus subsp. aureus CN1	GO:0005886; GO:0006810; GO:0016021
A0A1E5JFT6	atpH A7U48_2244	Staphylococcus aureus subsp. aureus	GO:0005886; GO:0015986; GO:0045261; GO:0046933
A0A0H3JKT1	SA1068	Staphylococcus aureus (strain N315)	
Q5HHX4	norA SACOL0754	Staphylococcus aureus (strain COL)	GO:0005886; GO:0015238; GO:0016021
Q2G1C8	SAOUHSC_00197	Staphylococcus aureus (strain NCTC 8325)	GO:0003995; GO:0050660
Q8SDQ8		Staphylococcus phage Phi12	
A0A1E8WQ14	HMPREF2819_06320	Staphylococcus sp. HMSC055H04	GO:0005576; GO:0009405; GO:0051715
A0A0H2X0F0	SACOL0400	Staphylococcus aureus (strain COL)	GO:0005886; GO:0009401; GO:0016021
A0A0H3JNC9	SA1845	Staphylococcus aureus (strain N315)	GO:0016301; GO:0016773
A0A0H2XE68	sirB SAUSA300_0116	Staphylococcus aureus (strain USA300)	GO:0005215; GO:0005886; GO:0016021
T1Y705	SAKOR_00332	Staphylococcus aureus subsp. aureus CN1	GO:0015169; GO:0016021
A0A0H2ZEM6	PA14_11650	Pseudomonas aeruginosa (strain UCBPP-PA14)	
A0A0A7CSF8	bcfD	Salmonella typhimurium	GO:0007155; GO:0009289
W1WHH2	Q604_UNBC18745G0008	human gut metagenome	GO:0004016
A0A0E1B660	U769_28500	Pseudomonas aeruginosa MTB-1	GO:0004585; GO:0005737; GO:0016597
A0A1G5HH59	arcC1 BQ1898_01574	Acinetobacter baumannii	GO:0006525; GO:0008804
A0A0C6EST4	fabF_1 AO964_23745 AOY09_00412	Pseudomonas aeruginosa	GO:0008152; GO:0033817
A0A157V480	cysQ SAMEA2273162_02313	Enterobacter cloacae	GO:0000287; GO:0008441; GO:0016020; GO:0046854
A0A1D5BT26	HMPREF1224_08819	Pseudomonas sp. P179	GO:0016021
A0A0P1DIF5	siaT_3 PADK1_05304	Pseudomonas aeruginosa DK1	GO:0016021
A0A1D5BSU3	HMPREF1224_08817	Pseudomonas sp. P179	GO:0005887; GO:0006527; GO:0043858
A0A1G5HHE5	arcA_1 arcA BQ1898_01572	Acinetobacter baumannii	GO:0005737; GO:0016990; GO:0019547
A0A073A4H0	kdgR_4 AOY09_04523 PAMH19_1900	Pseudomonas aeruginosa	GO:0003677; GO:0006351; GO:0006355
A0A1S1C267	HMPREF2687_24380	Pseudomonas sp. HMSC059F05	
A0A1S1C2C1	HMPREF2687_24385	Pseudomonas sp. HMSC059F05	
A0A1G5E1Z8	ask BQ1898_00545	Acinetobacter baumannii	GO:0004072; GO:0009088; GO:0009089; GO:0016597
A0A1S1C525	hutG HMPREF2687_01390	Pseudomonas sp. HMSC059F05	
A0A1E9CIM7	HMPREF2790_00500	Pseudomonas sp. HMSC066B11	
A0A0E1AR09	U769_00860	Pseudomonas aeruginosa MTB-1	GO:0003677; GO:0006351; GO:0045892
M7RK47	A670_00904	Salmonella enterica subsp. enterica serovar Dublin str. UC16	GO:0007155; GO:0009289
A0A0F6AZX0	csgD STM14_1306	Salmonella typhimurium (strain 14028s / SGSC 2262)	GO:0003677; GO:0006351; GO:0006355
V6A7D2	PAMH27_0132	Pseudomonas aeruginosa MH27	GO:0003824; GO:0004871; GO:0016021
V6A7A5	PAMH27_0131	Pseudomonas aeruginosa MH27	
T2QJ30	A680_04303	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0016740
A0A1F0J7H9	HMPREF3014_01390	Pseudomonas sp. HMSC065H01	
C0Q870	ycdY SPC_2613	Salmonella paratyphi C (strain RKS4594)	
M7S763	ycdX A670_00911	Salmonella enterica subsp. enterica serovar Dublin str. UC16	GO:0003677; GO:0003887; GO:0006260; GO:0008270; GO:0016791
I2SQU4	hemC EC12264_5177	Escherichia coli 1.2264	GO:0004418; GO:0006782; GO:0018160
A0A1L9LRG9			
A0A1S1AMG8	A7T25_10940	Salmonella enterica subsp. enterica serovar Bareilly	
A0A1P8I5M6	SEERU717_13875	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717	
A0A1P8I5Q2	SEERU717_13880	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717	
A0A1R3E5Y8	BCA44_01525 BCA45_06490 BCA46_02875 BCA47_01520 BCA48_03465 BCA49_06485 BCA50_05590 BCA51_06485 BCA52_01520 BCA53_05675 BCA54_02775 BCA55_06490 BCA56_06490 BCA57_06495 BCA58_01515 BCA59_06490 BCA60_05675 BCA61_05675 BCA62_06495 BCA63_05670 BCA64_06480 BCA65_05400 BCA66_10795 BCA67_01525 BCA68_06495 BCA69_01520 BCA70_02870 BCA72_05410 BCA73_02870 BCA74_10270 BCA75_02770 BCA76_02870 BCA77_05405 BCA78_06110 BCA79_02870 BCA80_06490 BCA81_00325 BCA82_02870 BCA84_01520 BCA85_06495 BCA86_01480 BCA87_00330 BCA88_06495 BCA89_06485 BCA90_05670 BCA91_02770 BCA92_06495 BCA93_06490 BCA94_06490 BCA95_06490 BCA96_01520 BCA97_06490 BCA99_01480 BCB00_01520 BCB01_01525 BCB02_06490 BCB03_01525 BCB04_06495 BCB05_02780 BCB06_01520 BCB07_06320 BCB08_06495 BCB09_06490 BCB10_06495	Salmonella enteritidis	
A0A0V2EI16	orn LFZ51_00965	Salmonella enterica subsp. arizonae serovar 63:g,z51:- str. So 20/20	GO:0003676; GO:0005737; GO:0016896
S4M1Q8	rsgA A680_03130	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872
S4IND3	queG A673_01709	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0005737; GO:0008033; GO:0008616; GO:0046872; GO:0051539; GO:0052693
T2PXK4	A675_02510	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K1726	GO:0004970; GO:0016020
A0A1R2A8D4	Y079_07710	Salmonella enterica subsp. enterica serovar Infantis str. CVM N31594	GO:0016740
S4KU71	nnrE nnrD A680_00612	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0005524; GO:0046496; GO:0046872; GO:0052855; GO:0052856
S4IJM8	mutL A673_01712	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0005524; GO:0006298; GO:0030983
B5R9B6	amiB SG4199	Salmonella gallinarum (strain 287/91 / NCTC 13346)	GO:0008745; GO:0009253
T2Q2I9	A675_00109	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K1726	GO:0008080
A0A0C7CTP5	gabR_2 AOY09_05669	Pseudomonas aeruginosa	GO:0003677; GO:0003700; GO:0003824; GO:0006351; GO:0030170
Q9HWL5	PA4166	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	GO:0008080
A0A0H3QYV8	HMPREF1223_09483	Pseudomonas aeruginosa str. Stone 130	GO:0016491
S4IPC8	A673_01601	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0005215; GO:0005887
S4IGT7	A673_01600	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0016021
A0A0U1IJN5	psd ERS157243_01350	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	GO:0004609; GO:0005886; GO:0006646
A0A1J7NJV7			
A0A1S1CA22	HMPREF2687_12825	Pseudomonas sp. HMSC059F05	GO:0016829
Q6G5Y4	pcp SAS2576	Staphylococcus aureus (strain MSSA476)	GO:0005829; GO:0008234; GO:0016920
A0A1D4FE66	SAMEA1708664_00697 SAMEA1708758_00412 SAMEA1708790_01345 SAMEA1708910_00305 SAMEA3448837_00092	Staphylococcus aureus	GO:0016021
Q2FVY1	SAOUHSC_02541	Staphylococcus aureus (strain NCTC 8325)	GO:0005525; GO:0006777
A0A0H2WY15	SACOL0630	Staphylococcus aureus (strain COL)	GO:0015171; GO:0016021
A0A1E8XCP9	dapB HMPREF2819_08675	Staphylococcus sp. HMSC055H04	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287
A0A1N5VY89			
W8U5G5	AYM22_08905 AYM23_08905 AYM24_08905 AYM25_08575 AYM26_08900 AYM27_08910 AYM28_08910 AYM29_08910 AYM30_08910 AYM31_08910 AYM32_08910 AYM33_08880 AYM34_08900 AYM35_08875 AYM36_08875 AYM37_08910 BZP34_02425 ERS072738_02440 ERS074020_02425 SAMEA3448837_00313	Staphylococcus aureus	GO:0005215; GO:0005886; GO:0016021
T1Y9J1	SAKOR_01791	Staphylococcus aureus subsp. aureus CN1	GO:0003824
Q2FV33	SAOUHSC_02906	Staphylococcus aureus (strain NCTC 8325)	
A0A0H3JLI8	SA0427	Staphylococcus aureus (strain N315)	GO:0016021
A0A1D5C309	rlmH HMPREF1224_07438	Pseudomonas sp. P179	GO:0005737; GO:0070038
A0A0H3QMD0	HMPREF1223_13148	Pseudomonas aeruginosa str. Stone 130	
A0A0H2X0Y2	SACOL0040	Staphylococcus aureus (strain COL)	
A0A1E8X713	HMPREF2819_01730	Staphylococcus sp. HMSC055H04	GO:0015031
A0A1N5Z6Q1			
A0A1E8WWV6	HMPREF2819_14325	Staphylococcus sp. HMSC055H04	GO:0006323
A0A0H2XHJ3	SAUSA300_1070	Staphylococcus aureus (strain USA300)	GO:0008080
Q99W56	SAV0553	Staphylococcus aureus (strain Mu50 / ATCC 700699)	GO:0003824; GO:0050662
A0A0H2WXD0	SACOL2484	Staphylococcus aureus (strain COL)	GO:0004601; GO:0051920
A0A0H2WX76	malR SACOL1552	Staphylococcus aureus (strain COL)	GO:0003677; GO:0006351; GO:0006355
W1F4P5		Escherichia coli ISC7	GO:0003677; GO:0004803; GO:0006313
D6I585	ECCG_03174	Escherichia coli B088	
A0A073GE41	AC88_1975	Escherichia coli 3-267-03_S4_C1	
T9TMI5	proS G994_00195	Escherichia coli UMEA 3718-1	GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433
T1YDV8	SAKOR_02539	Staphylococcus aureus subsp. aureus CN1	GO:0016021
A0A133QA76	HMPREF3211_00318	Staphylococcus aureus	
A0A1R1TFD5	metQ MP34_14875	Escherichia coli N37122PS	
V2RSQ5	G723_04182	Escherichia coli HVH 50 (4-2593475)	GO:0005886; GO:0006810; GO:0016021
A0A0H2Z8P9	PA14_41110	Pseudomonas aeruginosa (strain UCBPP-PA14)	GO:0043190; GO:0055085
A0A0A8RM70	PAMH19_4175	Pseudomonas aeruginosa	GO:0004602; GO:0006979
A0A1S1ARI1	A7T25_04485	Salmonella enterica subsp. enterica serovar Bareilly	
A0A1S1C3M1	HMPREF2687_18535	Pseudomonas sp. HMSC059F05	
A0A0H2WVL1	SACOL0893	Staphylococcus aureus (strain COL)	
T1Y939	SAKOR_01270	Staphylococcus aureus subsp. aureus CN1	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
Q5HIU0	SACOL0426	Staphylococcus aureus (strain COL)	GO:0003985; GO:0005737; GO:0008152
T1Y9C8	SAKOR_01711	Staphylococcus aureus subsp. aureus CN1	GO:0000906; GO:0009231; GO:0009349; GO:0016740
A0A0H2WWF6	SACOL1907	Staphylococcus aureus (strain COL)	GO:0001522; GO:0003723; GO:0009982
A0A0E0VRY8	ST398NM01_1954	Staphylococcus aureus subsp. aureus 71193	GO:0003677; GO:0003700
A0A0H3JUJ8	MW0403	Staphylococcus aureus (strain MW2)	
A0A0H2XGT7	SAUSA300_0229	Staphylococcus aureus (strain USA300)	GO:0008410; GO:0046952
